symbols table: {} | files table: {} | execution stack(base-top): [(varf=(string);(varf=test.in;(open varf;(varc=(int);(reading from file varf into the variable varc;(print(varc);(reading from file varf into the variable varc;(print(varc);closing the file varf))))))))] | output list: symbols table: {} | files table: {} | execution stack(base-top): [(varf=test.in;(open varf;(varc=(int);(reading from file varf into the variable varc;(print(varc);(reading from file varf into the variable varc;(print(varc);closing the file varf))))))), varf=(string)] | output list: symbols table: {varf=} | files table: {} | execution stack(base-top): [(varf=test.in;(open varf;(varc=(int);(reading from file varf into the variable varc;(print(varc);(reading from file varf into the variable varc;(print(varc);closing the file varf)))))))] | output list: symbols table: {varf=} | files table: {} | execution stack(base-top): [(open varf;(varc=(int);(reading from file varf into the variable varc;(print(varc);(reading from file varf into the variable varc;(print(varc);closing the file varf)))))), varf=test.in] | output list: symbols table: {varf=test.in} | files table: {} | execution stack(base-top): [(open varf;(varc=(int);(reading from file varf into the variable varc;(print(varc);(reading from file varf into the variable varc;(print(varc);closing the file varf))))))] | output list: symbols table: {varf=test.in} | files table: {} | execution stack(base-top): [(varc=(int);(reading from file varf into the variable varc;(print(varc);(reading from file varf into the variable varc;(print(varc);closing the file varf))))), open varf] | output list: symbols table: {varf=test.in} | files table: {test.in=java.io.BufferedReader@46fbb2c1} | execution stack(base-top): [(varc=(int);(reading from file varf into the variable varc;(print(varc);(reading from file varf into the variable varc;(print(varc);closing the file varf)))))] | output list: symbols table: {varf=test.in} | files table: {test.in=java.io.BufferedReader@46fbb2c1} | execution stack(base-top): [(reading from file varf into the variable varc;(print(varc);(reading from file varf into the variable varc;(print(varc);closing the file varf)))), varc=(int)] | output list: symbols table: {varf=test.in, varc=0} | files table: {test.in=java.io.BufferedReader@46fbb2c1} | execution stack(base-top): [(reading from file varf into the variable varc;(print(varc);(reading from file varf into the variable varc;(print(varc);closing the file varf))))] | output list: symbols table: {varf=test.in, varc=0} | files table: {test.in=java.io.BufferedReader@46fbb2c1} | execution stack(base-top): [(print(varc);(reading from file varf into the variable varc;(print(varc);closing the file varf))), reading from file varf into the variable varc] | output list: symbols table: {varf=test.in, varc=15} | files table: {test.in=java.io.BufferedReader@46fbb2c1} | execution stack(base-top): [(print(varc);(reading from file varf into the variable varc;(print(varc);closing the file varf)))] | output list: symbols table: {varf=test.in, varc=15} | files table: {test.in=java.io.BufferedReader@46fbb2c1} | execution stack(base-top): [(reading from file varf into the variable varc;(print(varc);closing the file varf)), print(varc)] | output list: symbols table: {varf=test.in, varc=15} | files table: {test.in=java.io.BufferedReader@46fbb2c1} | execution stack(base-top): [(reading from file varf into the variable varc;(print(varc);closing the file varf))] | output list:  15symbols table: {varf=test.in, varc=15} | files table: {test.in=java.io.BufferedReader@46fbb2c1} | execution stack(base-top): [(print(varc);closing the file varf), reading from file varf into the variable varc] | output list:  15symbols table: {varf=test.in, varc=50} | files table: {test.in=java.io.BufferedReader@46fbb2c1} | execution stack(base-top): [(print(varc);closing the file varf)] | output list:  15symbols table: {varf=test.in, varc=50} | files table: {test.in=java.io.BufferedReader@46fbb2c1} | execution stack(base-top): [closing the file varf, print(varc)] | output list:  15symbols table: {varf=test.in, varc=50} | files table: {test.in=java.io.BufferedReader@46fbb2c1} | execution stack(base-top): [closing the file varf] | output list:  15 50symbols table: {varf=test.in, varc=50} | files table: {} | execution stack(base-top): [] | output list:  15 50symbols table: {} | files table: {} | execution stack(base-top): [(varf=(string);(varf=test.in;(open varf;(varc=(int);(reading from file varf into the variable varc;(print(varc);(reading from file varf into the variable varc;(print(varc);closing the file varf))))))))] | output list: symbols table: {} | files table: {} | execution stack(base-top): [(varf=test.in;(open varf;(varc=(int);(reading from file varf into the variable varc;(print(varc);(reading from file varf into the variable varc;(print(varc);closing the file varf))))))), varf=(string)] | output list: symbols table: {varf=} | files table: {} | execution stack(base-top): [(varf=test.in;(open varf;(varc=(int);(reading from file varf into the variable varc;(print(varc);(reading from file varf into the variable varc;(print(varc);closing the file varf)))))))] | output list: symbols table: {varf=} | files table: {} | execution stack(base-top): [(open varf;(varc=(int);(reading from file varf into the variable varc;(print(varc);(reading from file varf into the variable varc;(print(varc);closing the file varf)))))), varf=test.in] | output list: symbols table: {varf=test.in} | files table: {} | execution stack(base-top): [(open varf;(varc=(int);(reading from file varf into the variable varc;(print(varc);(reading from file varf into the variable varc;(print(varc);closing the file varf))))))] | output list: symbols table: {varf=test.in} | files table: {} | execution stack(base-top): [(varc=(int);(reading from file varf into the variable varc;(print(varc);(reading from file varf into the variable varc;(print(varc);closing the file varf))))), open varf] | output list: symbols table: {varf=test.in} | files table: {test.in=java.io.BufferedReader@46fbb2c1} | execution stack(base-top): [(varc=(int);(reading from file varf into the variable varc;(print(varc);(reading from file varf into the variable varc;(print(varc);closing the file varf)))))] | output list: symbols table: {varf=test.in} | files table: {test.in=java.io.BufferedReader@46fbb2c1} | execution stack(base-top): [(reading from file varf into the variable varc;(print(varc);(reading from file varf into the variable varc;(print(varc);closing the file varf)))), varc=(int)] | output list: symbols table: {varf=test.in, varc=0} | files table: {test.in=java.io.BufferedReader@46fbb2c1} | execution stack(base-top): [(reading from file varf into the variable varc;(print(varc);(reading from file varf into the variable varc;(print(varc);closing the file varf))))] | output list: symbols table: {varf=test.in, varc=0} | files table: {test.in=java.io.BufferedReader@46fbb2c1} | execution stack(base-top): [(print(varc);(reading from file varf into the variable varc;(print(varc);closing the file varf))), reading from file varf into the variable varc] | output list: symbols table: {varf=test.in, varc=15} | files table: {test.in=java.io.BufferedReader@46fbb2c1} | execution stack(base-top): [(print(varc);(reading from file varf into the variable varc;(print(varc);closing the file varf)))] | output list: symbols table: {varf=test.in, varc=15} | files table: {test.in=java.io.BufferedReader@46fbb2c1} | execution stack(base-top): [(reading from file varf into the variable varc;(print(varc);closing the file varf)), print(varc)] | output list: symbols table: {varf=test.in, varc=15} | files table: {test.in=java.io.BufferedReader@46fbb2c1} | execution stack(base-top): [(reading from file varf into the variable varc;(print(varc);closing the file varf))] | output list:  15symbols table: {varf=test.in, varc=15} | files table: {test.in=java.io.BufferedReader@46fbb2c1} | execution stack(base-top): [(print(varc);closing the file varf), reading from file varf into the variable varc] | output list:  15symbols table: {varf=test.in, varc=50} | files table: {test.in=java.io.BufferedReader@46fbb2c1} | execution stack(base-top): [(print(varc);closing the file varf)] | output list:  15symbols table: {varf=test.in, varc=50} | files table: {test.in=java.io.BufferedReader@46fbb2c1} | execution stack(base-top): [closing the file varf, print(varc)] | output list:  15symbols table: {varf=test.in, varc=50} | files table: {test.in=java.io.BufferedReader@46fbb2c1} | execution stack(base-top): [closing the file varf] | output list:  15 50symbols table: {varf=test.in, varc=50} | files table: {} | execution stack(base-top): [] | output list:  15 50symbols table: {} | files table: {} | execution stack(base-top): [(varf=(string);(varf=test.in;(open varf;(varc=(int);(reading from file varf into the variable varc;(print(varc);(reading from file varf into the variable varc;(print(varc);closing the file varf))))))))] | output list: 
symbols table: {} | files table: {} | execution stack(base-top): [(varf=test.in;(open varf;(varc=(int);(reading from file varf into the variable varc;(print(varc);(reading from file varf into the variable varc;(print(varc);closing the file varf))))))), varf=(string)] | output list: 
symbols table: {varf=} | files table: {} | execution stack(base-top): [(varf=test.in;(open varf;(varc=(int);(reading from file varf into the variable varc;(print(varc);(reading from file varf into the variable varc;(print(varc);closing the file varf)))))))] | output list: 
symbols table: {varf=} | files table: {} | execution stack(base-top): [(open varf;(varc=(int);(reading from file varf into the variable varc;(print(varc);(reading from file varf into the variable varc;(print(varc);closing the file varf)))))), varf=test.in] | output list: 
symbols table: {varf=test.in} | files table: {} | execution stack(base-top): [(open varf;(varc=(int);(reading from file varf into the variable varc;(print(varc);(reading from file varf into the variable varc;(print(varc);closing the file varf))))))] | output list: 
symbols table: {varf=test.in} | files table: {} | execution stack(base-top): [(varc=(int);(reading from file varf into the variable varc;(print(varc);(reading from file varf into the variable varc;(print(varc);closing the file varf))))), open varf] | output list: 
symbols table: {varf=test.in} | files table: {test.in=java.io.BufferedReader@1698c449} | execution stack(base-top): [(varc=(int);(reading from file varf into the variable varc;(print(varc);(reading from file varf into the variable varc;(print(varc);closing the file varf)))))] | output list: 
symbols table: {varf=test.in} | files table: {test.in=java.io.BufferedReader@1698c449} | execution stack(base-top): [(reading from file varf into the variable varc;(print(varc);(reading from file varf into the variable varc;(print(varc);closing the file varf)))), varc=(int)] | output list: 
symbols table: {varf=test.in, varc=0} | files table: {test.in=java.io.BufferedReader@1698c449} | execution stack(base-top): [(reading from file varf into the variable varc;(print(varc);(reading from file varf into the variable varc;(print(varc);closing the file varf))))] | output list: 
symbols table: {varf=test.in, varc=0} | files table: {test.in=java.io.BufferedReader@1698c449} | execution stack(base-top): [(print(varc);(reading from file varf into the variable varc;(print(varc);closing the file varf))), reading from file varf into the variable varc] | output list: 
symbols table: {varf=test.in, varc=15} | files table: {test.in=java.io.BufferedReader@1698c449} | execution stack(base-top): [(print(varc);(reading from file varf into the variable varc;(print(varc);closing the file varf)))] | output list: 
symbols table: {varf=test.in, varc=15} | files table: {test.in=java.io.BufferedReader@1698c449} | execution stack(base-top): [(reading from file varf into the variable varc;(print(varc);closing the file varf)), print(varc)] | output list: 
symbols table: {varf=test.in, varc=15} | files table: {test.in=java.io.BufferedReader@1698c449} | execution stack(base-top): [(reading from file varf into the variable varc;(print(varc);closing the file varf))] | output list:  15
symbols table: {varf=test.in, varc=15} | files table: {test.in=java.io.BufferedReader@1698c449} | execution stack(base-top): [(print(varc);closing the file varf), reading from file varf into the variable varc] | output list:  15
symbols table: {varf=test.in, varc=50} | files table: {test.in=java.io.BufferedReader@1698c449} | execution stack(base-top): [(print(varc);closing the file varf)] | output list:  15
symbols table: {varf=test.in, varc=50} | files table: {test.in=java.io.BufferedReader@1698c449} | execution stack(base-top): [closing the file varf, print(varc)] | output list:  15
symbols table: {varf=test.in, varc=50} | files table: {test.in=java.io.BufferedReader@1698c449} | execution stack(base-top): [closing the file varf] | output list:  15 50
symbols table: {varf=test.in, varc=50} | files table: {} | execution stack(base-top): [] | output list:  15 50
